['Dr. Reshma Phulwar', '11', 'Dentist', '300', '96% ', 'Chembur', 'Mumbai']
['Dr. P.Uma Devi', '36', 'Ayurveda', '1500', '100% ', 'Valasaravakkam', 'Kalyan-Dombivli']
['Dr. N Sankar Ram Mithran', '45', 'Dentist', '700', '99% ', 'Chromepet', 'Kalyan-Dombivli']
['Dr. Ganga Ravikumar', '12', 'Dermatologist', '250', '100% ', 'Adyar', 'Kalyan-Dombivli']
['Dr. R. Sowmiya', '9', 'Homoeopath', '300', '88% ', 'Mogappair East', 'Kalyan-Dombivli']
['Dr. Aarthi Lakshmanan', '23', 'Ayurveda', '700', '100% ', 'MRC Nagar', 'Kalyan-Dombivli']
['Dr. Sukanya Mathupal', '24', 'Dentist', '500', '100% ', 'Chromepet', 'Kalyan-Dombivli']
['Dr. Col Rajagopal A', '12', 'Dermatologist', '500', '100% ', 'Greams Road', 'Kalyan-Dombivli']
['Dr. Rajeshwari', '10', 'Homoeopath', '600', '83% ', 'Velachery', 'Kalyan-Dombivli']
['Dr. Lakshmi Durga M', '10', 'Ayurveda', '500', '94% ', 'Anna Nagar', 'Kalyan-Dombivli']
['Dr. Lakshmi M', '7', 'Dentist', '500', '93% ', 'Anna Nagar', 'Vasai-Virar']
['Dr. Jyothsna', '13', 'Dermatologist', '700', '100% ', 'Saligramam', 'Vasai-Virar']
['Dr. Suryaprabha P', '21', 'Homoeopath', '500', '100% ', 'Adyar', 'Vasai-Virar']
['Dr. R. Vijayashanthini', '11', 'Ayurveda', '500', '100% ', 'Rajakilpakkam', 'Vasai-Virar']
['Dr. N. Saravanan', '11', 'Dentist', '500', '93% ', 'Tambaram', 'Vasai-Virar']
['Dr. L Mathuvenkatesan', '42', 'Dermatologist', '1000', '100% ', 'Ashok Nagar', 'Vasai-Virar']
['Dr. Saradha Kumari', '14', 'Homoeopath', '850', '99% ', 'Kodambakkam', 'Vasai-Virar']
['Dr. Berlin  Nadhiya', '35', 'Ayurveda', '800', '100% ', 'Porur', 'Vasai-Virar']
['Dr. C Sundara Alagappan', '8', 'Dentist', '800', '96% ', 'Anna Nagar', 'Vasai-Virar']
['Dr. Ashok Kumar', '12', 'Dermatologist', '800', '97% ', 'Tambaram East', 'Vasai-Virar']
['Dr. Prof. G Nirmal (PhD)', '13', 'Homoeopath', '800', '98% ', 'Ayanavaram', 'Vasai-Virar']
['Dr. Meena', '8', 'Ayurveda', '700', '100% ', 'Vadapalani', 'Vasai-Virar']
['Dr. T K Vinodhini', '14', 'Dentist', '1000', '97% ', 'Tambaram East', 'Vasai-Virar']
['Dr. Rajesh Verma', '12', 'Dermatologist', '800', '97% ', 'Vadapalani', 'Vasai-Virar']
['Dr. M Vishnupriya', '12', 'Homoeopath', '850', '93% ', 'Selaiyur', 'Vasai-Virar']
['Dr. Rekha', '18', 'Ayurveda', '500', '83% ', 'Madambakkam', 'Vasai-Virar']
['Dr. D Jayashree', '19', 'Dentist', '450', '100% ', 'West Mambalam', 'Vasai-Virar']
['Dr. Poonam Verma', '7', 'Dermatologist', '2200', '99% ', 'Vadapalani', 'Vasai-Virar']
['Dr. Siva Sudhakar', '13', 'Homoeopath', '1500', '97% ', 'Ekkaduthangal', 'Vasai-Virar']
['Dr. T. Vamsi Latha', '22', 'Ayurveda', '700', '96% ', 'West Mambalam', 'Vasai-Virar']
['Dr. D Srikrishna', '15', 'Dentist', '700', '97% ', 'West Mambalam', 'Vasai-Virar']
['Dr. Uday Kiran', '18', 'Dermatologist', '1000', '97% ', 'West Mambalam', 'Vasai-Virar']
['Dr. Shamna. R', '33', 'Homoeopath', '750', '99% ', 'Ekkaduthangal', 'Vasai-Virar']
['Dr. Mohamed Jalal', '17', 'Ayurveda', '1200', '96% ', 'Valasaravakkam', 'Vasai-Virar']
['Dr. Ajitha Sureshkumar', '15', 'Dentist', '1500', '99% ', 'Navalur', 'Vasai-Virar']
['Dr. Prashanth  Sreenivasan', '25', 'Dermatologist', '300', '97% ', 'Nanganallur', 'Vasai-Virar']
['Dr. Dhanraj', '12', 'Homoeopath', '299', '98% ', 'Madipakkam', 'Vasai-Virar']
['Dr. Praveen Kumar', '9', 'Ayurveda', '300', '99% ', 'Selaiyur', 'Vasai-Virar']
['Dr. Sunil Chandy', '12', 'Dentist', '2000', '96% ', 'Rajakilpakkam', 'Vasai-Virar']
['Dr. H.Sharanya', '27', 'Dermatologist', '800', '100% ', 'Moolakadai', 'Vasai-Virar']
['Dr. Kiruba Gladys', '23', 'Homoeopath', '300', '98% ', 'Pallikaranai', 'Vasai-Virar']
['Dr. Rachna Balaji', '23', 'Ayurveda', '250', '100% ', 'Anna Nagar', 'Vasai-Virar']
['Dr. K Mari Senthil Kumar', '9', 'Dentist', '1000', '90% ', 'Selaiyur', 'Vasai-Virar']
['Dr. Ravichandran', '16', 'Dermatologist', '1000', '82% ', 'Teynampet', 'Vasai-Virar']
['Dr. Lakshmi Durga M', '14', 'Homoeopath', '600', '100% ', 'Anna Nagar', 'Vasai-Virar']
['Dr. Nivedita Raveendran', '14', 'Ayurveda', '300', '99% ', 'Adyar', 'Vasai-Virar']
['Dr. Apoorva Raghavan', '6', 'Dentist', '500', '67% ', 'Kilpauk', 'Varanasi']
['Dr. Meenakshi M', '38', 'Dermatologist', '200', '83% ', 'Alwarpet', 'Varanasi']
['Dr. Radha Subramaniyan', '16', 'Homoeopath', '500', '100% ', 'T Nagar', 'Varanasi']
['Dr. Hari Priya A', '11', 'Ayurveda', '500', '98% ', 'Anna Nagar', 'Varanasi']
['Dr. Aftab Mateen', '37', 'Dentist', '600', '100% ', 'Anna Nagar', 'Varanasi']
['Dr. Banupriya M', '33', 'Dermatologist', '500', '100% ', 'Anna Nagar', 'Varanasi']
['Dr. Suryaprabha P', '19', 'Homoeopath', '300', '98% ', 'Adyar', 'Varanasi']
['Dr. Nidhi Dube', '29', 'Ayurveda', '1000', '100% ', 'Velachery', 'Varanasi']
['Dr. V. Veerapathiran', '22', 'Dentist', '800', '99% ', 'Nolambur', 'Varanasi']
['Dr. M Nithya', '11', 'Dermatologist', '800', '99% ', 'Alwarpet', 'Varanasi']
['Dr. Manoshalini', '16', 'Homoeopath', '900', '100% ', 'Padappai', 'Varanasi']
['Dr. S.Sowmya', '8', 'Ayurveda', '1500', '98% ', 'Kovilambakkam', 'Varanasi']
['Dr. D.Senthil Kumar', '13', 'Dentist', '700', '100% ', 'Velachery', 'Varanasi']
['Dr. L Kannan', '15', 'Dermatologist', '1000', '100% ', 'KK Nagar', 'Varanasi']
['Dr. A.Cecilie Margrate', '11', 'Homoeopath', '1500', '98% ', 'Anna Nagar', 'Varanasi']
['Dr. Dhivya', '10', 'Ayurveda', '1500', '98% ', 'Velachery', 'Varanasi']
['Dr. Raja Rajeswari', '12', 'Dentist', '800', '97% ', 'Chromepet', 'Varanasi']
['Dr. Sampoorna M', '32', 'Dermatologist', '850', '100% ', 'West Mambalam', 'Varanasi']
['Dr. Sruthy Sreekumar', '9', 'Homoeopath', '300', '99% ', 'West Mambalam', 'Varanasi']
['Dr. Subashri', '18', 'Ayurveda', '700', '100% ', 'Guindy', 'Varanasi']
['Dr. Ambika K R', '11', 'Dentist', '500', '95% ', 'ECR Road', 'Varanasi']
['Dr. Jyothi Naresh', '25', 'Dermatologist', '300', '98% ', 'Kandanchavadi', 'Varanasi']
['Dr. Manikandan N', '15', 'Homoeopath', '400', '96% ', 'Washermenpet', 'Varanasi']
['Dr. Raniya Sulthana', '13', 'Ayurveda', '300', '99% ', 'Mogappair West', 'Varanasi']
['Dr. D Arunachalam', '16', 'Dentist', '500', '100% ', 'Adyar', 'Varanasi']
['Dr. V.K.Vignesh', '12', 'Dermatologist', '1000', '100% ', 'Gowrivakkam', 'Varanasi']
['Dr. D Arun Raj', '13', 'Homoeopath', '200', '100% ', 'Chromepet', 'Varanasi']
['Dr. Pavani Thota', '13', 'Ayurveda', '500', '98% ', 'Nungambakkam', 'Varanasi']
['Dr. Sudhakar', '13', 'Dentist', '500', '98% ', 'Royapettah', 'Varanasi']
['Dr. K. Nithya Pandiarajan', '24', 'Dermatologist', '500', '100% ', 'Virugambakkam', 'Varanasi']
['Dr. Vandana James', '17', 'Homoeopath', '1500', '98% ', 'Rajakilpakkam', 'Varanasi']
['Dr. D.Ramyaa Karthies', '18', 'Ayurveda', '1000', '100% ', 'Keelkattalai', 'Varanasi']
['Dr. A Hima Sandeep', '23', 'Dentist', '800', '100% ', 'Mugalivakkam', 'Varanasi']
['Dr. Abhilash Bhaskaran', '10', 'Dermatologist', '1000', '98% ', 'Perumbakkam', 'Varanasi']
['Dr. Antionetta Ashwini J', '11', 'Homoeopath', '1000', '100% ', 'T Nagar', 'Varanasi']
['Dr. Shraddha', '37', 'Ayurveda', '1000', '99% ', 'Teynampet', 'Varanasi']
['Dr. Lakshmi M', '11', 'Dentist', '1000', '99% ', 'Anna Nagar', 'Srinagar']
['Dr. Kutti Sai Swetha', '12', 'Dermatologist', '1200', '99% ', 'Velachery', 'Srinagar']
['Dr. Bhuvanashree N', '13', 'Homoeopath', '800', '99% ', 'Adyar', 'Srinagar']
['Dr. Nivethitha S', '41', 'Ayurveda', '700', '98% ', 'Alwarpet', 'Srinagar']
['Dr. Katheeja Nasika', '24', 'Dentist', '700', '99% ', 'Chromepet', 'Srinagar']
['Dr. N Ashwak Ahmed', '53', 'Dermatologist', '450', '90% ', 'OMR Road', 'Srinagar']
['Dr. Tejaswi Cherukuri', '21', 'Homoeopath', '450', '96% ', 'Neelankarai', 'Srinagar']
['Dr. Murlidhar Rajagopalan', '24', 'Ayurveda', '450', '78% ', 'Greams Road', 'Srinagar']
['Dr. I Rehana Parveen', '15', 'Dentist', '450', '100% ', 'Palavakkam', 'Srinagar']
['Dr. Mythili Navin Kumar', '19', 'Dermatologist', '700', '82% ', 'KK Nagar', 'Srinagar']
['Dr. R Arthi', '24', 'Homoeopath', '450', '97% ', 'KK Nagar', 'Srinagar']
['Dr. Saumya Annie Baby', '23', 'Ayurveda', '450', '91% ', 'Anna Nagar', 'Srinagar']
['Dr. P.M.Keerthana', '24', 'Dentist', '1200', '100% ', 'Anna Nagar', 'Srinagar']
['Dr. Sathya Devi', '18', 'Dermatologist', '800', '86% ', 'Velachery', 'Srinagar']
['Dr. Animol Gopidas', '33', 'Homoeopath', '800', '100% ', 'Anna Nagar', 'Srinagar']
['Dr. I Sheik Mujibur Rahuman', '14', 'Ayurveda', '1000', '100% ', 'Anna Nagar', 'Srinagar']
['Dr. Nancy Amalorpavam', '21', 'Dentist', '2000', '86% ', 'Porur', 'Srinagar']
['Dr. AM Reddy', '40', 'Dermatologist', '700', '75% ', 'Velachery', 'Srinagar']
['Dr. Aarthi Praveen', '26', 'Homoeopath', '299', '100% ', 'Navalur', 'Srinagar']
['Dr. Nithu U Kumar', '34', 'Ayurveda', '400', '100% ', 'Navalur', 'Srinagar']
['Dr. Deepak Raj', '16', 'Dentist', '299', '90% ', 'Kolathur', 'Srinagar']
['Dr. Satish Alavandar', '34', 'Dermatologist', '1500', '92% ', 'Kolathur', 'Srinagar']
['Dr. Saru Padma', '16', 'Homoeopath', '600', '81% ', 'Velachery', 'Srinagar']
['Dr. Mathan Mohan', '30', 'Ayurveda', '500', '91% ', 'Vanagaram', 'Srinagar']
['Dr. E. Sarath Chandar', '13', 'Dentist', '200', '100% ', 'Thiruvanmiyur', 'Srinagar']
['Dr. Kamesh Radhakrishnan', '12', 'Dermatologist', '500', '100% ', 'Kanchipuram', 'Srinagar']
['Dr. Veeraragavan', '10', 'Homoeopath', '500', '86% ', 'Selaiyur', 'Srinagar']
['Dr. Harish G', '9', 'Ayurveda', '500', '100% ', 'Sholinganallur', 'Srinagar']
['Dr. Harshitha Munamala', '9', 'Dentist', '750', '100% ', 'Anna Nagar', 'Srinagar']
['Dr. Vignesh Karthick', '13', 'Dermatologist', '200', '100% ', 'Aminjikarai', 'Srinagar']
['Dr. Latha A Muthu', '30', 'Homoeopath', '1500', '97% ', 'Adyar', 'Srinagar']
['Dr. Venkatesh Lakshmi', '10', 'Ayurveda', '500', '98% ', 'Adyar', 'Srinagar']
['Dr. Vaaruni Ravishankar', '14', 'Dentist', '800', '98% ', 'Aminjikarai', 'Srinagar']
['Dr. Sharanya Karthik', '13', 'Dermatologist', '2000', '95% ', 'T Nagar', 'Srinagar']
['Dr. Mithra Sampathkumar', '24', 'Homoeopath', '900', '100% ', 'Anna Nagar', 'Srinagar']
['Dr. Sukanya Mathupal', '36', 'Ayurveda', '800', '95% ', 'Chromepet', 'Srinagar']
['Dr. Ramanan', '23', 'Dentist', '900', '95% ', 'Alwarpet', 'Aurangabad']
['Dr. Nidhi Singh', '14', 'Dermatologist', '1000', '99% ', 'Perumbakkam', 'Aurangabad']
['Dr. Ravi Kant Kaushik', '18', 'Homoeopath', '1300', '99% ', 'Porur', 'Aurangabad']
['Dr. Reeja Y', '18', 'Ayurveda', '1000', '97% ', 'Kolathur', 'Aurangabad']
['Dr. T.H.Tharika', '41', 'Dentist', '1000', '50% ', 'Navalur', 'Aurangabad']
['Dr. Swarupa', '14', 'Dermatologist', '1000', '94% ', 'Kandanchavadi', 'Aurangabad']
['Dr. B.Ssneha Vignesh', '12', 'Homoeopath', '1000', '92% ', 'Gowrivakkam', 'Aurangabad']
['Dr. Manoj Kumar', '17', 'Ayurveda', '700', '75% ', 'Padi', 'Aurangabad']
['Dr. Magesh M', '20', 'Dentist', '450', '100% ', 'Pallavaram', 'Aurangabad']
['Dr. M R Anulekha', '13', 'Dermatologist', '1500', '100% ', 'Medavakkam', 'Aurangabad']
['Dr. Jananee Sivapragasam', '18', 'Homoeopath', '1700', '100% ', 'Thoraipakkam', 'Aurangabad']
['Dr. A. Brindha', '34', 'Ayurveda', '500', '100% ', 'Thoraipakkam', 'Aurangabad']
['Dr. Prem Alex Lawrence', '39', 'Dentist', '1000', '86% ', 'Thoraipakkam', 'Aurangabad']
['Dr. Ramachandran R', '25', 'Dermatologist', '800', '80% ', 'Perumbakkam', 'Aurangabad']
['Dr. Chandan', '18', 'Homoeopath', '1200', '100% ', 'Alwarpet', 'Aurangabad']
['Dr. Sowmya Dogiparthi', '20', 'Ayurveda', '600', '100% ', 'Alwarpet', 'Aurangabad']
['Dr. Deepthi Motiram', '15', 'Dentist', '500', '59% ', 'Velachery', 'Aurangabad']
['Dr. Rajeshwari', '31', 'Dermatologist', '800', '83% ', 'Velachery', 'Aurangabad']
['Dr. Rajkumar Kannan', '7', 'Homoeopath', '300', '95% ', 'Adyar', 'Aurangabad']
['Dr. Monisha', '21', 'Ayurveda', '500', '100% ', 'Anna Nagar', 'Aurangabad']
['Dr. Annie Flora', '28', 'Dentist', '1000', '99% ', 'MRC Nagar', 'Aurangabad']
['Dr. Prof.Venugopal Reddy', '14', 'Dermatologist', '300', '98% ', 'Thousand Lights', 'Aurangabad']
['Dr. S Dinesh Ponraj', '16', 'Homoeopath', '300', '99% ', 'Nanganallur', 'Aurangabad']
['Dr. Sahila Jebastine', '28', 'Ayurveda', '1500', '95% ', 'Velachery', 'Aurangabad']
['Dr. Kirthana Rao', '36', 'Dentist', '700', '96% ', 'Thiruvanmiyur', 'Aurangabad']
['Dr. Anjali Anand', '45', 'Dermatologist', '250', '97% ', 'Adyar', 'Aurangabad']
['Dr. E. Sarath Chandar', '12', 'Homoeopath', '300', '98% ', 'Thiruvanmiyur', 'Aurangabad']
['Dr. A. Brindha', '9', 'Ayurveda', '700', '93% ', 'Thoraipakkam', 'Aurangabad']
['Dr. P R Chockalingam', '23', 'Dentist', '500', '100% ', 'Velachery', 'Aurangabad']
['Dr. V.S. Hariharan', '24', 'Dermatologist', '500', '100% ', 'Medavakkam', 'Aurangabad']
['Dr. Jananee Sivapragasam', '12', 'Homoeopath', '600', '100% ', 'Thoraipakkam', 'Aurangabad']
['Dr. Ajitha Sureshkumar', '10', 'Ayurveda', '500', '100% ', 'Navalur', 'Aurangabad']
['Dr. Lakshmi', '10', 'Dentist', '500', '99% ', 'Anna Nagar', 'Aurangabad']
['Dr. Syed Shakeel', '7', 'Dermatologist', '700', '100% ', 'Kilpauk', 'Aurangabad']
['Dr. K R Sharmatha', '13', 'Homoeopath', '500', '100% ', 'Vadapalani', 'Aurangabad']
['Dr. A M Jayaraman', '21', 'Ayurveda', '500', '96% ', 'Teynampet', 'Aurangabad']
['Dr. K Roshni', '11', 'Dentist', '500', '95% ', 'Nungambakkam', 'Dhanbad']
['Dr. Azra Fatima N', '11', 'Dermatologist', '1000', '99% ', 'Anna Nagar', 'Dhanbad']
['Dr. Nandhini Palani', '42', 'Homoeopath', '850', '100% ', 'Tambaram West', 'Dhanbad']
['Dr. A.Selvam', '14', 'Ayurveda', '800', '100% ', 'Adyar', 'Dhanbad']
['Dr. Sajai Varghese', '35', 'Dentist', '800', '99% ', 'Kilpauk', 'Dhanbad']
['Dr. Bede Anand', '8', 'Dermatologist', '800', '86% ', 'Mylapore', 'Dhanbad']
['Dr. Srividhya C M', '12', 'Homoeopath', '800', '100% ', 'Velachery', 'Dhanbad']
['Dr. Ramesh Reddy', '13', 'Ayurveda', '700', '97% ', 'Virugambakkam', 'Dhanbad']
['Dr. K.Senthil Kumar', '8', 'Dentist', '1000', '93% ', 'Kodambakkam', 'Dhanbad']
['Dr. Kamakshi V', '14', 'Dermatologist', '800', '94% ', 'Perungudi', 'Dhanbad']
['Dr. Venkatesh', '12', 'Homoeopath', '850', '95% ', 'Selaiyur', 'Dhanbad']
['Dr. Sanjay Jacob', '12', 'Ayurveda', '500', '100% ', 'Tambaram East', 'Dhanbad']
['Dr. Subashini', '18', 'Dentist', '450', '98% ', 'Valasaravakkam', 'Dhanbad']
['Dr. V.S. Hariharan', '19', 'Dermatologist', '2200', '100% ', 'Medavakkam', 'Dhanbad']
['Dr. Gokulakrishnan', '7', 'Homoeopath', '1500', '100% ', 'Nanganallur', 'Dhanbad']
['Dr. Kirthiga M', '13', 'Ayurveda', '700', '100% ', 'Anna Nagar West', 'Dhanbad']
['Dr. Lakshmi', '22', 'Dentist', '700', '50% ', 'Anna Nagar', 'Dhanbad']
['Dr. S.Vinu Priya', '15', 'Dermatologist', '1000', '86% ', 'Adyar', 'Dhanbad']
['Dr. Deborah Roselin', '18', 'Homoeopath', '750', '99% ', 'Alwarpet', 'Dhanbad']
['Dr. Akshaya.S', '33', 'Ayurveda', '1200', '100% ', 'Alwarpet', 'Dhanbad']
['Dr. Deepak Balaji', '17', 'Dentist', '1500', '100% ', 'Ashok Nagar', 'Dhanbad']
['Dr. S.Barath Kumar', '15', 'Dermatologist', '300', '100% ', 'Anna Nagar', 'Dhanbad']
['Dr. Prem Kumar', '25', 'Homoeopath', '299', '97% ', 'Madipakkam', 'Dhanbad']
['Dr. J. Jebin Paul Nesaline', '12', 'Ayurveda', '300', '100% ', 'Perungudi', 'Dhanbad']
['Dr. Mareeswari', '9', 'Dentist', '2000', '75% ', 'Pallikaranai', 'Dhanbad']
['Dr. Brindha Devi R', '12', 'Dermatologist', '800', '80% ', 'Selaiyur', 'Dhanbad']
['Dr. Vallabh Mahadevan', '27', 'Homoeopath', '300', '100% ', 'Padur', 'Dhanbad']
['Dr. M. Phani Babu', '23', 'Ayurveda', '250', '100% ', 'Adyar', 'Dhanbad']
['Dr. Soosi Christopher', '23', 'Dentist', '1000', '100% ', 'Anna Nagar', 'Dhanbad']
['Dr. K Vimala Geetha', '9', 'Dermatologist', '1000', '100% ', 'Adyar', 'Dhanbad']
['Dr. Vesta Enid Lydia', '16', 'Homoeopath', '600', '100% ', 'Anna Nagar West', 'Dhanbad']
['Dr. Kiruthika Asokan', '14', 'Ayurveda', '300', '100% ', 'Porur', 'Dhanbad']
['Dr. Vijay Adhith C', '14', 'Dentist', '500', '100% ', 'Anna Nagar', 'Dhanbad']
['Dr. Aziz Mac', '6', 'Dermatologist', '200', '100% ', 'Chetpet', 'Dhanbad']
['Dr. S Selva Ganesh', '38', 'Homoeopath', '500', '100% ', 'Manapakkam', 'Dhanbad']
['Dr. Saravanan', '16', 'Ayurveda', '500', '100% ', 'Mylapore', 'Dhanbad']
['Dr. Praveen Rajesh', '11', 'Dentist', '600', '98% ', 'Anna Nagar West', 'Amritsar']
['Dr. T P Balaji', '37', 'Dermatologist', '500', '97% ', 'Purasawakkam', 'Amritsar']
['Dr. Corlson Titus Paul', '33', 'Homoeopath', '300', '98% ', 'Thiruvanmiyur', 'Amritsar']
['Dr. Balajee. J', '19', 'Ayurveda', '1000', '100% ', 'Anna Nagar West', 'Amritsar']
['Dr. Debashish Bera', '29', 'Dentist', '800', '99% ', 'Salt Lake', 'Amritsar']
['Dr. Suvendu Pal', '22', 'Dermatologist', '800', '98% ', 'Sinthi', 'Amritsar']
['Dr. Anupreet Kaur Choudhury', '11', 'Homoeopath', '900', '98% ', 'Keshtopur', 'Amritsar']
['Dr. Anuj Bhattacharya', '16', 'Ayurveda', '1500', '97% ', 'Park Street', 'Amritsar']
['Dr. Pallabi Ghosh Saha', '8', 'Dentist', '700', '97% ', 'Dumdum', 'Amritsar']
['Dr. Shiva Shankar Roy', '13', 'Dermatologist', '1000', '100% ', 'Jodhpur Park', 'Amritsar']
['Dr. Anshul Ray', '15', 'Homoeopath', '1500', '100% ', 'Narendrapur', 'Amritsar']
['Dr. Saptarshi Datta', '11', 'Ayurveda', '1500', '96% ', 'Baghajatin', 'Amritsar']
['Dr. Ruchi Lohia', '10', 'Dentist', '800', '99% ', 'Salt Lake', 'Amritsar']
['Dr. Sukirti Mandal Biswas', '12', 'Dermatologist', '850', '98% ', 'New Alipore', 'Amritsar']
['Dr. Soumya Kanti Datta', '32', 'Homoeopath', '500', '100% ', 'Park Street', 'Amritsar']
['Dr. Nidhi jindal', '9', 'Ayurveda', '1500', '100% ', 'Salt Lake', 'Amritsar']
['Dr. Surajit Gorai', '18', 'Dentist', '700', '99% ', 'Salt Lake', 'Amritsar']
['Dr. Roshni Subhash Mishra', '7', 'Dermatologist', '1000', '99% ', 'Park Street', 'Amritsar']
['Dr. Atul Taneja', '12', 'Homoeopath', '1500', '100% ', 'Salt Lake', 'Amritsar']
['Dr. Debatri Datta', '8', 'Ayurveda', '1000', '100% ', 'Salt Lake', 'Amritsar']
['Dr. Khushbu Tantia', '12', 'Dentist', '450', '92% ', 'Salt Lake', 'Amritsar']
['Dr. Barnali Dutta', '16', 'Dermatologist', '1000', '100% ', 'Jodhpur Park', 'Amritsar']
['Dr. Tripathy Sanjita', '14', 'Homoeopath', '250', '99% ', 'Park Street', 'Amritsar']
['Dr. Farhat Fatima', '18', 'Ayurveda', '1000', '91% ', 'Jodhpur Park', 'Amritsar']
['Dr. Shahid Shaikh', '9', 'Dentist', '300', '85% ', 'Salt Lake', 'Amritsar']
['Dr. Abhishek Chaturvedi', '30', 'Dermatologist', '700', '100% ', 'Behala', 'Amritsar']
['Dr. Sourangshu Banerjee', '31', 'Homoeopath', '500', '100% ', 'Ultadanga', 'Amritsar']
['Dr. Chinmay Mahanta', '11', 'Ayurveda', '300', '100% ', 'Kolkatta', 'Amritsar']
['Dr. Supra Paul', '25', 'Dentist', '400', '98% ', 'Minto Park', 'Amritsar']
['Dr. Saha Piyali', '15', 'Dermatologist', '300', '97% ', 'Minto Park', 'Amritsar']
['Dr. Dipayan Das', '13', 'Homoeopath', '500', '98% ', 'Garia', 'Amritsar']
['Dr. Archana Agarwal', '16', 'Ayurveda', '1000', '100% ', 'Dhakuria', 'Amritsar']
['Dr. Snigdhodip Saha', '12', 'Dentist', '200', '67% ', 'Kasba', 'Amritsar']
['Dr. Ratna Pal', '13', 'Dermatologist', '500', '95% ', 'Keshtopur', 'Amritsar']
['Dr. Debasish Pahari', '13', 'Homoeopath', '500', '98% ', 'Thakurpukur', 'Amritsar']
['Dr. Sasanka Chowdhury', '13', 'Ayurveda', '500', '94% ', 'Keshtopur', 'Amritsar']
['Dr. Chiranjit Bhowink', '24', 'Dentist', '1500', '100% ', 'Sarat Bose Road', 'Navi Mumbai']
['Dr. S Tripathi', '17', 'Dermatologist', '1000', '100% ', 'Shyambazar', 'Navi Mumbai']
['Dr. Prabhat Kumar Bal', '18', 'Homoeopath', '800', '86% ', 'New Town', 'Navi Mumbai']
['Dr. Aswathi M', '23', 'Ayurveda', '1000', '100% ', 'Kalighat', 'Navi Mumbai']
['Dr. Konika Anand', '10', 'Dentist', '1000', '100% ', 'Rajarhat', 'Navi Mumbai']
['Dr. Avik Chowdhury', '11', 'Dermatologist', '1000', '98% ', 'Kolkatta', 'Navi Mumbai']
['Dr. Siddhartha Sharma', '37', 'Homoeopath', '1000', '100% ', 'Salt Lake', 'Navi Mumbai']
['Dr. Samarjit Ghatak', '11', 'Ayurveda', '1200', '100% ', 'Bansdroni', 'Navi Mumbai']
['Dr. Radhika V Goel', '12', 'Dentist', '800', '98% ', 'Kasba', 'Navi Mumbai']
['Dr. Rohini Gupta', '13', 'Dermatologist', '700', '100% ', 'Salt Lake', 'Navi Mumbai']
['Dr. Isha Juneja Bhardwaj', '41', 'Homoeopath', '700', '100% ', 'Entally', 'Navi Mumbai']
['Dr. Nikita Parasrampuria', '24', 'Ayurveda', '450', '100% ', 'Lake Town', 'Navi Mumbai']
['Dr. Swapna Haque', '53', 'Dentist', '450', '100% ', 'New Market', 'Navi Mumbai']
['Dr. Sawon Barman', '21', 'Dermatologist', '450', '98% ', 'Haridevpur', 'Navi Mumbai']
['Dr. Shruti Agarwal', '24', 'Homoeopath', '450', '100% ', 'Ballygunge', 'Navi Mumbai']
['Dr. Anita Chauhan', '15', 'Ayurveda', '700', '100% ', 'Salt Lake', 'Navi Mumbai']
['Dr. Madhulika Tewari', '19', 'Dentist', '450', '100% ', 'Keshtopur', 'Navi Mumbai']
['Dr. Arimeeta Bhadra', '24', 'Dermatologist', '450', '97% ', 'Rajarhat', 'Navi Mumbai']
['Dr. Avik Ghosh', '23', 'Homoeopath', '1200', '100% ', 'Park Street', 'Navi Mumbai']
['Dr. Niraj Jain', '24', 'Ayurveda', '800', '93% ', 'Gokhel Road', 'Navi Mumbai']
['Dr. Aarti Sarda', '18', 'Dentist', '800', '99% ', 'Dhakuria', 'Navi Mumbai']
['Dr. Amanur Rahaman', '33', 'Dermatologist', '1000', '100% ', 'Mukundapur', 'Navi Mumbai']
['Dr. Sudip Das', '14', 'Homoeopath', '2000', '100% ', 'Bangur Avenue', 'Navi Mumbai']
['Dr. Srutee Barman', '21', 'Ayurveda', '700', '100% ', 'Park Street', 'Navi Mumbai']
['Dr. Ashwini S Tatawati', '40', 'Dentist', '299', '67% ', 'Park Street', 'Navi Mumbai']
['Dr. SRABANI GHOSH ZOHA', '26', 'Dermatologist', '400', '100% ', 'Salt Lake', 'Navi Mumbai']
['Dr. Reeja Mariam George', '34', 'Homoeopath', '299', '100% ', 'Park Street', 'Navi Mumbai']
['Dr. Samit Ghosh', '16', 'Ayurveda', '1500', '86% ', 'Santoshpur', 'Navi Mumbai']
['Dr. Sumon Kumar Biswas', '34', 'Dentist', '600', '96% ', 'Barasat', 'Navi Mumbai']
['Dr. Soumen Banik', '16', 'Dermatologist', '500', '100% ', 'New Town', 'Navi Mumbai']
['Dr. Subhasis Mukherjee', '30', 'Homoeopath', '200', '100% ', 'Ahritola', 'Navi Mumbai']
['Dr. Dheeraj Kumar', '13', 'Ayurveda', '500', '91% ', 'Diamond Harbour Road', 'Navi Mumbai']
['Dr. Rajesh Banik', '12', 'Dentist', '500', '100% ', 'Minto Park', 'Navi Mumbai']
['Dr. Rosy Sethia', '10', 'Dermatologist', '500', '100% ', 'Camac Street', 'Navi Mumbai']
['Dr. Subhra Chalki', '9', 'Homoeopath', '750', '96% ', 'Entally', 'Navi Mumbai']
